Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1011,48.743,232.333,P6,45,434,Niskin,,,,,
1011,48.743,232.333,P6,45,435,Niskin,,,,,
1011,48.743,232.333,P6,45,436,Niskin,,,,,
1011,48.743,232.333,P6,45,437,Niskin,,,,,
1011,48.743,232.333,P6,45,438,Niskin,,,,,
1011,48.743,232.333,P6,45,439,Niskin,,,,,
1011,48.743,232.333,P6,45,440,Niskin,,,,,
1011,48.743,232.333,P6,45,441,Niskin,,,,,
1011,48.743,232.333,P6,15,442,Niskin,,,,,
1011,48.743,232.333,P6,15,443,Niskin,,,,,
1011,48.743,232.333,P6,15,444,Niskin,,,,,
1011,48.743,232.333,P6,15,445,Niskin,,,,,
1011,48.743,232.333,P6,15,446,Niskin,,,,,
1011,48.743,232.333,P6,15,447,Niskin,,,,,
1011,48.743,232.333,P6,15,448,Niskin,,,,,
1011,48.743,232.333,P6,15,449,Niskin,,,,,
1011,48.743,232.333,P6,15,450,Niskin,,,,,
1011,48.743,232.333,P6,15,451,Niskin,,,,,
1011,48.743,232.333,P6,15,452,Niskin,,,,,
1011,48.743,232.333,P6,15,453,Niskin,,,,,
1011,48.743,232.333,P6,15,454,Niskin,,,,,
1011,48.743,232.333,P6,15,455,Niskin,,,,,
1011,48.743,232.333,P6,15,456,Niskin,,,,,
1014,48.743,232.333,P6,150,457,Niskin,,,,,
1014,48.743,232.333,P6,150,458,Niskin,,,,,
1014,48.743,232.333,P6,150,459,Niskin,,,,,
1014,48.743,232.333,P6,150,460,Niskin,,,,,
1014,48.743,232.333,P6,150,461,Niskin,,,,,
1014,48.743,232.333,P6,125,462,Niskin,,,,,
1014,48.743,232.333,P6,125,463,Niskin,,,,,
1014,48.743,232.333,P6,100,464,Niskin,,,,,
1014,48.743,232.333,P6,100,465,Niskin,,,,,
1014,48.743,232.333,P6,100,466,Niskin,,,,,
